HUD PROJECT NUMBER,PREMISE ID,PROPERTY NAME,PROPERTY STREET,PROPERTY CITY,PROPERTY STATE,PROPERTY ZIP,UNITS,INITIAL ENDORSEMENT DATE,FINAL ENDORSEMENT DATE,ORIGINAL MORTGAGE AMOUNT,FIRST PAYMENT DATE,MATURITY DATE,TERM IN MONTHS,INTEREST RATE,CURRENT PRINCIPAL AND INTEREST,AMORTIZED PRINCIPAL BALANCE,HOLDER NAME,HOLDER CITY,HOLDER STATE,SERVICER NAME,SERVICER CITY,SERVICER STATE,SECTION OF ACT CODE,SOA CATEGORY/SUB CATEGORY,TE,TC
00011183,0000017718,ST MARY'S COURT,725 W 24 STREET NW,WASHINGTON,DC,20037,140,2/6/2009,2/6/2009,"4,230,000 ",4/1/2009,3/1/2044,420,6.55,"25,701.15 ","4,030,528.12 ",BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011186,0000002231,COUNCIL HOUSE APARTMENTS,3940 BEXLEY PLACE,MARLOW HEIGHTS,MD,20746,162,12/8/2005,12/8/2005,"11,607,400 ",2/1/2006,1/1/2041,420,5.51,"62,409.70 ","10,425,313.27 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011188,0000001632,LARGO LANDING FELLOWSHIP,1077 LARGO ROAD,UPPER MARLBORO,MD,20774,106,7/31/2006,7/31/2006,"4,801,800 ",9/1/2006,8/1/2036,360,6.3,"29,721.84 ","4,247,837.74 ","PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011189,0000001823,BELMONT APARTMENTS,1301 BELMONT STREET NW,WASHINGTON,DC,20009,20,6/28/2006,6/28/2006,"1,236,100 ",8/1/2006,7/1/2041,420,6.15,"7,173.07 ","1,132,502.93 ",HEARTLAND BANK,CHESTERFIELD,MO,HEARTLAND BANK,CHESTERFIELD,MO,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011192,0000001030,BUCKNELL APARTMENTS,11500 BUCKNELL DRIVE,WHEATON,MD,20902,40,2/27/2007,2/27/2007,"1,578,400 ",4/1/2007,3/1/2042,420,5.82,"8,809.90 ","1,452,038.31 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,REK,223(a)(7)/207/223(f) Refinanced Insurance,,
00011193,0000000032,ASHBURRY DWELLINGS,1616 MARION STREET NW,WASHINGTON,DC,20001,147,10/14/2008,10/14/2008,"8,150,400 ",12/1/2008,11/1/2043,420,6.75,"50,647.93 ","7,753,974.39 ",OPPENHEIMER MULTIFAMILY HSG &,NORTH WALES,PA,HEARTLAND BANK,CHESTERFIELD,MO,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011195,0000017801,UNIVERSITY GARDENS,440 EAST UNIVERSITY BLVD,SILVER SPRING,MD,20901,65,3/18/2009,3/18/2009,"3,898,000 ",5/1/2009,4/1/2044,420,6.5,"23,549.94 ","3,715,694.73 ",BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011196,0000017826,ALLEN HOUSE APARTMENTS,3760 MINNESOTA AVENUE NE,WASHINGTON,DC,20019,96,4/7/2009,4/7/2009,"8,040,000 ",6/1/2009,5/1/2044,420,7,"51,364.05 ","7,707,712.07 ",OPPENHEIMER MULTIFAMILY HSG &,NORTH WALES,PA,OPPENHEIMER MULTIFAMILY HSG &,NORTH WALES,PA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011199,0000018413,GLENN ARMS APARTMENTS,2518 & 2524 17TH ST NW,WASHINGTON,DC,20009,55,12/15/2009,12/15/2009,"3,824,000 ",2/1/2010,1/1/2045,420,5.25,"19,913.21 ","3,630,578.39 ",WALKER AND DUNLOP LLC,BETHESDA,MD,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011200,0000019020,MAYFAIR MANSIONS,3819 JAY STREET NE,WASHINGTON,DC,20019,410,5/12/2010,5/12/2010,"26,927,000 ",7/1/2010,6/1/2045,420,4.7,"148,027.76 ","24,632,740.31 ",OAK GROVE COMMERCIAL MORTGAGE,SAINT PAUL,MN,OAK GROVE COMMERCIAL MORTGAGE,SAINT PAUL,MN,HRI,207/ 223(f) Pur/ Refin Hsg.,,
